,Unnamed: 0,Type,Name,Age,Gender,Color1,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,State,PhotoAmt,AdoptionSpeed,BreedMixed,ColorMixed,Video
117,117,1,BB,2,2,1,2,2,1,1,2,1,0,41326,4,3,TRUE,FALSE,FALSE
118,118,1,No Name,1,2,2,3,1,3,1,3,1,0,41401,2,2,TRUE,FALSE,FALSE
119,119,2,Aswad,2,2,1,2,1,2,1,2,1,0,41326,3,2,FALSE,FALSE,FALSE
120,120,2,Sunset,2,1,2,1,1,2,2,2,1,0,41401,1,0,FALSE,FALSE,FALSE
121,121,1,Lady,2,2,1,2,1,1,1,2,1,80,41326,9,2,TRUE,FALSE,FALSE
122,122,2,No Name,3,1,4,2,1,3,1,2,1,0,41401,3,4,FALSE,TRUE,FALSE
123,123,1,Harvey,17,1,1,2,2,1,1,1,1,150,41401,1,4,TRUE,TRUE,FALSE
124,124,2,No Name,48,1,1,3,1,1,1,2,1,20,41326,4,2,FALSE,FALSE,FALSE
125,125,2,No Name,1,1,1,2,1,2,2,2,1,0,41326,1,2,FALSE,FALSE,FALSE
126,126,2,Silvy,5,2,1,2,2,2,2,2,1,150,41326,4,2,FALSE,FALSE,FALSE
127,127,1,Java,8,1,1,2,1,3,3,1,1,0,41326,3,2,FALSE,FALSE,FALSE
128,128,1,CUTIE,4,2,7,1,1,1,1,1,1,0,41326,2,4,TRUE,TRUE,FALSE
129,129,1,Money,3,1,1,2,1,1,1,2,1,0,41326,3,3,TRUE,FALSE,FALSE
130,130,2,Ninja,72,1,1,2,1,1,1,1,1,0,41326,10,4,FALSE,FALSE,FALSE
131,131,1,No Name,12,2,1,2,2,2,1,2,1,0,41327,2,4,TRUE,FALSE,FALSE
132,132,1,Jasper,22,1,2,2,1,1,1,2,1,0,41401,0,3,FALSE,FALSE,FALSE
133,133,1,Oreo,36,1,3,2,2,3,3,2,1,0,41326,3,4,TRUE,TRUE,FALSE
134,134,1,Piston,2,1,5,2,2,3,3,2,1,0,41326,1,3,TRUE,TRUE,FALSE
135,135,1,Momo,12,2,7,2,2,1,1,2,1,0,41326,5,2,TRUE,TRUE,FALSE
136,136,1,Baobob,7,1,1,1,1,2,2,2,1,50,41326,1,4,TRUE,FALSE,TRUE
137,137,1,No Name,2,1,1,2,1,2,2,2,1,0,41401,4,1,TRUE,FALSE,FALSE
138,138,1,Simone,24,2,2,2,1,1,1,1,1,0,41326,24,4,TRUE,FALSE,FALSE
139,139,1,Goofy,1,2,2,2,3,2,2,2,1,0,41326,3,1,TRUE,TRUE,FALSE
140,140,1,Coffee,1,2,2,2,1,2,2,2,1,0,41332,1,2,TRUE,TRUE,FALSE
141,141,2,No Name,5,1,1,1,1,1,2,3,1,0,41401,4,4,FALSE,FALSE,FALSE
142,142,1,Butter,16,2,5,1,1,1,1,3,1,0,41401,3,1,FALSE,FALSE,FALSE
143,143,2,No Name,2,1,3,2,1,1,1,2,1,0,41326,5,2,FALSE,FALSE,FALSE
144,144,2,Baby,2,1,5,1,2,3,3,3,1,0,41327,6,4,FALSE,TRUE,FALSE
145,145,1,No Name,7,1,2,2,1,1,1,3,1,0,41326,8,1,FALSE,TRUE,FALSE
146,146,2,No Name,13,2,2,2,1,2,1,2,1,0,41326,5,4,FALSE,FALSE,FALSE
147,147,1,Spongebob,3,1,1,2,1,1,1,1,1,0,41326,3,3,TRUE,FALSE,FALSE
148,148,1,Blackie,12,1,1,2,1,1,1,2,1,0,41326,1,4,TRUE,FALSE,FALSE
149,149,2,Galaxy,3,1,1,1,1,1,1,2,1,0,41401,9,2,FALSE,FALSE,FALSE
150,150,1,No Name,2,2,1,2,2,2,2,2,1,0,41326,1,4,TRUE,FALSE,FALSE
151,151,2,Oyen,10,2,4,2,1,1,1,1,1,0,41401,8,3,FALSE,TRUE,FALSE
152,152,1,No Name,2,2,4,2,1,2,1,2,1,0,41326,5,1,TRUE,FALSE,FALSE
153,153,1,No Name,2,1,1,2,1,2,2,2,1,0,41326,2,3,TRUE,FALSE,FALSE
154,154,2,Smallie,4,2,1,3,1,2,2,2,1,0,41401,8,1,FALSE,FALSE,FALSE
155,155,1,No Name,60,1,2,2,2,1,1,1,1,0,41326,5,3,FALSE,FALSE,FALSE
156,156,2,Mocha,12,2,2,2,1,1,1,1,1,0,41401,2,4,FALSE,FALSE,FALSE
157,157,2,Jayden,2,2,1,1,1,2,2,2,1,0,41326,5,1,FALSE,FALSE,FALSE
158,158,2,Meme,6,2,3,2,1,2,1,1,1,0,41326,5,4,FALSE,FALSE,FALSE
159,159,1,No Name,3,2,1,3,1,3,3,2,1,0,41326,2,2,TRUE,FALSE,FALSE
160,160,1,Sweety,1,2,1,2,2,2,1,2,1,0,41326,4,1,TRUE,TRUE,FALSE
161,161,2,No Name,3,1,4,2,2,2,2,2,1,50,41326,3,1,FALSE,FALSE,FALSE
162,162,1,No Name,19,2,1,2,1,1,1,1,1,80,41326,3,4,TRUE,TRUE,FALSE
163,163,2,Cici,11,2,1,2,1,1,1,1,1,50,41326,5,4,FALSE,FALSE,FALSE
164,164,1,No Name,37,2,2,2,1,1,1,1,1,0,41326,5,4,TRUE,FALSE,FALSE
165,165,2,Ragdoll,4,2,1,1,3,2,2,3,1,250,41326,3,2,FALSE,FALSE,FALSE
166,166,1,Bongo,3,1,5,2,1,2,1,1,1,0,41401,6,1,FALSE,TRUE,FALSE
167,167,1,Milo,6,1,1,2,1,1,1,1,1,0,41326,1,3,TRUE,FALSE,FALSE
168,168,2,Ginger,1,2,3,2,1,2,2,2,1,0,41326,7,2,FALSE,FALSE,FALSE
169,169,1,Blackie,5,1,1,2,1,3,3,3,1,0,41326,0,4,TRUE,FALSE,FALSE
170,170,2,No Name,7,1,1,2,1,2,1,2,1,0,41401,2,2,FALSE,FALSE,FALSE
171,171,1,Joey,4,2,1,2,2,2,1,2,1,1,41401,1,4,TRUE,FALSE,FALSE
172,172,2,No Name,1,2,1,2,1,2,2,2,1,0,41326,0,4,FALSE,FALSE,FALSE
173,173,1,Jojo,48,2,2,2,1,1,1,1,1,0,41326,1,3,TRUE,TRUE,FALSE
174,174,1,Mini,3,2,2,1,1,2,2,2,1,0,41330,3,1,FALSE,TRUE,FALSE
175,175,1,Jack,2,1,1,2,2,1,1,2,1,0,41326,1,1,TRUE,FALSE,FALSE
176,176,2,Kacha,4,1,4,1,1,1,1,3,1,0,41401,5,1,FALSE,FALSE,FALSE
177,177,1,QQ,22,2,5,2,1,1,1,2,1,0,41326,3,1,FALSE,FALSE,FALSE
178,178,1,Carly,60,2,2,1,3,1,1,1,1,0,41326,3,1,FALSE,TRUE,FALSE
179,179,1,Murphy,3,1,1,2,1,3,3,2,1,0,41326,2,2,FALSE,TRUE,FALSE
180,180,2,Pepper,4,2,5,2,2,3,3,3,1,0,41401,4,2,FALSE,TRUE,TRUE
181,181,2,No Name,13,2,1,2,2,1,1,2,1,0,41326,3,1,FALSE,FALSE,FALSE
182,182,2,No Name,1,1,1,1,1,3,3,3,1,0,41327,1,3,FALSE,FALSE,FALSE
183,183,1,No Name,5,2,1,2,2,1,1,2,1,0,41326,8,1,FALSE,TRUE,FALSE
184,184,1,No Name,2,2,1,2,2,2,1,2,1,0,41326,12,3,TRUE,FALSE,FALSE
185,185,1,No Name,2,2,2,2,1,1,1,2,1,0,41326,9,2,FALSE,FALSE,TRUE
186,186,1,Flora,36,2,2,2,1,1,1,1,1,0,41326,1,3,TRUE,TRUE,FALSE
187,187,1,Miss,2,2,1,2,1,1,1,2,1,0,41326,4,4,TRUE,FALSE,TRUE
188,188,1,Y1,2,2,1,2,2,2,1,2,1,0,41326,4,2,TRUE,FALSE,FALSE
189,189,2,Patches,2,2,1,2,1,2,1,2,1,0,41326,3,1,FALSE,FALSE,FALSE
190,190,2,Cham,8,1,3,2,1,1,1,1,1,0,41326,2,2,FALSE,TRUE,FALSE
191,191,2,LAVENDER,2,2,1,2,2,1,1,2,1,0,41326,4,3,FALSE,FALSE,FALSE
192,192,2,Maddie,9,2,2,1,1,1,1,1,1,0,41401,3,2,FALSE,FALSE,FALSE
193,193,2,Grey,6,2,6,2,1,3,3,3,1,0,41336,4,2,FALSE,TRUE,FALSE
194,194,1,Chanelle,18,2,2,2,1,1,1,1,1,0,41401,10,0,FALSE,FALSE,FALSE
195,195,1,No Name,14,1,2,3,2,1,1,1,1,0,41336,3,0,TRUE,TRUE,FALSE
196,196,2,No Name,2,1,7,2,1,2,1,2,1,0,41401,2,1,FALSE,TRUE,FALSE
197,197,2,Noizy,12,1,1,2,2,1,1,1,1,0,41326,1,4,FALSE,FALSE,FALSE
198,198,2,No Name,12,2,1,2,1,2,3,1,1,0,41326,1,4,FALSE,FALSE,FALSE
199,199,1,No Name,1,2,1,2,1,2,2,2,1,0,41326,5,1,FALSE,FALSE,FALSE
200,200,1,Bunny,2,2,1,2,2,1,1,2,1,0,41326,2,3,TRUE,FALSE,FALSE
201,201,1,Brownie,3,2,2,2,1,3,3,3,1,0,41326,2,1,TRUE,TRUE,FALSE
202,202,1,Mesky,3,1,5,2,2,2,2,2,1,0,41327,4,1,FALSE,FALSE,FALSE
203,203,2,No Name,6,2,4,1,1,1,1,1,1,200,41336,6,4,FALSE,TRUE,FALSE
204,204,2,No Name,3,1,1,1,1,2,2,2,1,0,41401,1,2,FALSE,FALSE,FALSE
205,205,1,Zizi,3,1,2,3,1,2,2,3,1,0,41401,3,2,TRUE,TRUE,FALSE
206,206,1,Flash,24,2,2,2,1,1,1,1,2,20,41326,2,4,TRUE,TRUE,FALSE
207,207,1,Sam,1,1,2,2,2,2,2,2,1,0,41326,1,1,TRUE,FALSE,FALSE
208,208,1,No Name,2,2,1,2,2,2,1,2,1,250,41401,13,3,FALSE,FALSE,FALSE
209,209,1,Apollo,2,1,3,2,2,1,1,2,1,0,41326,1,2,TRUE,TRUE,FALSE
210,210,1,LuiLui,7,2,2,2,1,1,1,2,1,0,41401,1,3,TRUE,TRUE,FALSE
211,211,2,Mok,3,1,1,1,3,2,2,2,1,150,41326,3,1,FALSE,FALSE,FALSE
212,212,1,Missy,1,2,2,2,1,2,2,2,1,0,41330,2,3,TRUE,TRUE,FALSE
213,213,1,Clory,1,2,1,2,1,1,1,2,1,0,41326,9,2,TRUE,FALSE,FALSE
214,214,1,Rocco,55,1,1,2,1,1,1,1,1,0,41326,5,2,FALSE,FALSE,FALSE
215,215,1,Dango,2,2,1,2,1,1,1,2,1,0,41326,3,2,FALSE,FALSE,FALSE
216,216,1,Mani,3,2,1,2,2,1,1,1,1,0,41326,3,3,TRUE,FALSE,FALSE
217,217,1,Lily,36,2,3,2,2,3,3,1,1,0,41326,9,3,FALSE,FALSE,FALSE
218,218,2,No Name,1,2,1,2,3,2,1,2,1,0,41326,10,2,FALSE,FALSE,TRUE
219,219,2,No Name,6,2,2,2,2,2,2,2,1,0,41326,3,4,FALSE,FALSE,FALSE
220,220,2,No Name,6,2,2,2,2,2,2,2,1,0,41401,3,1,FALSE,FALSE,FALSE
221,221,2,No Name,4,1,2,2,2,2,2,2,2,0,41326,4,1,FALSE,TRUE,FALSE
222,222,1,Carmen,2,2,2,2,2,1,1,2,1,0,41326,3,1,FALSE,FALSE,FALSE
223,223,1,No Name,5,2,1,2,1,1,1,2,1,0,41401,1,2,TRUE,FALSE,FALSE
224,224,2,Chiko,20,1,1,3,2,2,1,2,1,0,41326,4,1,FALSE,FALSE,FALSE
225,225,1,Pinky,2,2,2,2,1,1,1,2,1,0,41401,6,3,TRUE,FALSE,FALSE
226,226,1,Yimmy,7,1,2,2,2,1,3,3,1,0,41326,1,1,TRUE,FALSE,FALSE
227,227,2,No Name,1,1,1,2,1,2,1,2,1,0,41326,6,1,FALSE,FALSE,FALSE
228,228,1,Katniss,1,2,1,2,1,2,2,2,1,0,41332,1,3,TRUE,TRUE,FALSE
229,229,2,Vader,28,1,1,3,3,1,1,2,1,0,41401,5,2,FALSE,TRUE,FALSE
230,230,1,No Name,24,2,1,2,2,1,1,1,1,250,41326,9,4,FALSE,FALSE,FALSE
231,231,1,Buddy,12,1,2,2,2,1,1,1,1,0,41326,0,4,TRUE,FALSE,FALSE
232,232,2,Tom,4,1,1,2,1,2,2,2,1,0,41326,4,4,FALSE,FALSE,FALSE
233,233,1,Cocoju,2,2,1,2,2,1,1,2,1,0,41326,4,2,TRUE,FALSE,FALSE
234,234,2,No Name,2,1,4,1,1,1,1,2,1,0,41326,5,1,FALSE,TRUE,FALSE
235,235,1,Puppy,1,2,1,1,1,2,2,2,1,0,41326,1,4,TRUE,FALSE,FALSE
236,236,1,Beagle^^,5,2,1,2,1,3,3,3,1,300,41326,1,1,FALSE,FALSE,FALSE
237,237,2,Poppy,22,2,1,2,2,1,1,1,1,0,41327,7,4,FALSE,TRUE,FALSE
238,238,2,Taki,36,2,1,2,2,1,1,1,1,0,41332,4,4,FALSE,FALSE,FALSE
239,239,1,Mimi,36,2,7,2,2,1,1,1,1,0,41401,2,2,FALSE,TRUE,FALSE
240,240,1,Poppy,8,1,4,2,1,1,1,2,1,0,41401,2,4,TRUE,TRUE,FALSE
241,241,1,Chorbath,10,2,7,2,1,2,1,1,1,0,41401,2,4,TRUE,TRUE,FALSE
242,242,1,Million,2,2,2,2,1,2,1,2,1,0,41326,4,4,TRUE,FALSE,FALSE
243,243,2,Mushtash,2,1,1,1,2,2,2,2,1,0,41401,4,4,FALSE,FALSE,FALSE
244,244,1,Randy,3,1,1,2,1,3,1,3,1,0,41326,2,4,TRUE,TRUE,FALSE
245,245,1,No Name,3,2,1,2,1,2,2,2,1,0,41327,2,3,TRUE,FALSE,FALSE
246,246,1,No Name,60,2,1,1,2,3,1,1,1,0,41326,1,3,FALSE,FALSE,FALSE
247,247,1,Hayden,2,1,2,2,1,1,1,2,1,0,41401,1,2,TRUE,TRUE,FALSE
248,248,2,Oreo,12,1,2,2,2,1,1,1,1,0,41326,2,1,FALSE,FALSE,FALSE
249,249,1,H1,1,2,1,2,2,2,1,2,1,0,41326,1,3,TRUE,FALSE,FALSE
250,250,1,No Name,1,2,7,2,2,2,2,2,1,0,41330,1,3,TRUE,TRUE,FALSE
251,251,1,Whitey,24,2,7,3,1,3,3,1,2,0,41327,2,4,TRUE,TRUE,FALSE
252,252,1,No Name,3,2,2,2,1,1,1,1,1,200,41326,6,4,TRUE,TRUE,FALSE
253,253,1,Oliver,2,1,1,2,1,2,2,2,1,0,41326,7,3,TRUE,FALSE,FALSE
254,254,2,Lovey,12,1,1,1,2,3,3,3,1,0,41326,1,4,FALSE,TRUE,FALSE
255,255,1,No Name,12,2,2,2,2,2,1,2,1,0,41327,1,4,TRUE,TRUE,FALSE
256,256,1,No Name,1,1,2,2,1,1,1,2,1,0,41326,1,3,TRUE,TRUE,FALSE
257,257,2,No Name,11,2,1,2,1,1,1,1,1,0,41326,11,2,FALSE,FALSE,FALSE
258,258,1,BOBO,74,1,2,2,2,3,1,3,1,0,41326,2,2,FALSE,FALSE,FALSE
259,259,1,Naari,36,2,2,2,3,1,1,1,1,0,41326,3,3,FALSE,FALSE,FALSE
260,260,1,C7C,3,2,2,2,2,2,1,2,1,0,41326,3,3,TRUE,FALSE,FALSE
261,261,1,Bonnie,2,2,1,2,1,1,1,2,1,0,41326,6,3,TRUE,FALSE,FALSE
